anomalyID,srcIP,srcPort,dstIP,dstPort,taxonomy,heuristic,distance,nbDetectors,label
1,80.93.52.184,80,142.17.237.232,54670,alphflHTTP,503,-1.061634,1,notice
2,142.13.116.17,11889,208.13.242.30,63864,alphfl,999,-1.061634,1,notice
3,142.17.35.153,63884,171.159.72.207,80,salphfl,503,-1.061634,1,notice
4,142.17.12.247,,146.217.203.216,80,alphflHTTP,503,-1.061634,1,notice
5,12.77.37.192,63866,144.194.97.187,993,alphfl,999,-1.061634,1,notice
6,164.220.242.242,,65.61.77.251,182,alphfl,999,-1.061634,1,notice
7,164.220.169.139,,,,ptmpla,504,-1.061634,1,notice
8,142.17.36.178,,,443,ntscACK,504,-1.061634,1,notice
9,158.182.58.73,,,,alphflHTTP,503,-1.061634,1,notice
10,136.39.113.49,,,,ptmpla,504,-1.061634,1,notice
11,136.39.124.1,,,,alphflHTTP,503,-1.061634,1,notice
12,142.17.117.48,,,,ntscACK,504,-1.061634,1,notice
13,207.160.147.36,,213.145.99.149,80,salphfl,503,-1.061634,1,notice
14,142.6.32.43,,49.208.69.4,80,salphfl,503,-1.061634,1,notice
15,206.85.84.137,80,142.17.30.134,,salphfl,503,-1.061634,1,notice
16,34.36.152.128,182,136.39.167.196,1909,alphfl,999,-1.061634,1,notice
17,44.104.239.135,37130,207.160.149.32,80,salphfl,503,-1.061634,1,notice
18,194.113.122.17,80,164.220.241.92,49350,alphflHTTP,503,-1.061634,1,notice
19,6.0.72.80,80,206.92.53.235,,salphfl,503,-1.061634,1,notice
20,171.165.57.156,443,206.92.157.65,50186,alphfl,504,-1.061634,1,notice
21,136.39.202.54,59554,71.177.50.170,443,salphfl,504,-1.061634,1,notice
22,142.17.90.111,35110,65.124.230.77,80,malphfl,503,-1.061634,1,notice
23,171.176.83.170,443,206.92.152.250,,salphfl,504,-1.061634,1,notice
24,142.17.66.69,80,157.157.249.99,40562,alphflHTTP,503,-1.061634,1,notice
25,164.220.241.107,,,443,ptmpla,504,-1.061634,1,notice
26,222.107.216.188,443,144.194.2.127,58367,alphfl,504,-1.061634,1,notice
27,164.220.87.155,,164.226.116.68,80,salphfl,503,-1.061634,1,notice
28,11.139.156.207,80,206.92.53.235,65262,alphflHTTP,503,-1.061634,1,notice
29,142.17.116.5,55690,100.0.7.191,443,malphfl,504,-1.061634,1,notice
30,164.220.145.90,,,443,ptmpla,504,-1.061634,1,notice
31,155.212.223.106,60106,222.107.216.240,443,alphfl,504,-1.061634,1,notice
32,34.143.156.166,48906,136.39.178.129,80,malphfl,503,-1.061634,1,notice
